config,n,mean_error_km,median_error_km,mean_delta_km,delta_ci95_low,delta_ci95_high,win_rate,loss_rate,mean_shift_km,acc_1_km,acc_25_km,acc_200_km,acc_750_km,acc_2500_km
boost_early_agreement,300,2676.6831809234936,459.8839099547903,52.4615908351385,-75.56548127752619,204.28973132229163,0.056666666666666664,0.05333333333333334,217.8274476874445,0.08,0.29333333333333333,0.44333333333333336,0.55,0.71
baseline,300,2729.144771758632,416.6534483421402,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.3,0.45,0.5566666666666666,0.71
suppress_agreement,300,2919.6522102038507,481.6468520891062,-190.5074384452191,-419.8890823176051,19.63543951247452,0.09,0.12333333333333334,559.1554777456591,0.06333333333333334,0.28,0.43,0.5433333333333333,0.7
boost_dino_all,300,3014.8898614143404,701.2321746224683,-285.7450896557084,-530.4610198200454,-64.8528357927756,0.15666666666666668,0.20666666666666667,944.4869117306722,0.07,0.25,0.3933333333333333,0.5066666666666667,0.6866666666666666
boost_middle_agreement,300,3035.7612948786036,582.4818871651844,-306.6165231199717,-621.5480785635511,-39.34095560160767,0.08666666666666667,0.11666666666666667,750.632045050458,0.06333333333333334,0.27,0.42,0.5266666666666666,0.6866666666666666
boost_agreement,300,3126.397394215568,661.5927869705436,-397.2526224569364,-703.2940510792045,-121.21562632541142,0.08666666666666667,0.13333333333333333,832.9434785063024,0.07666666666666666,0.26666666666666666,0.41,0.51,0.6766666666666666
boost_late_agreement,300,3191.6950061694347,749.92016017858,-462.5502344108028,-770.6776536255159,-198.03672736999994,0.04666666666666667,0.16333333333333333,914.4521632081045,0.06666666666666667,0.26,0.4033333333333333,0.5,0.67
boost_union,300,3503.9224064152395,921.0878923957295,-774.7776346566075,-1178.5855689451323,-423.77780419199433,0.21,0.4033333333333333,2144.0028065023384,0.06333333333333334,0.22,0.35333333333333333,0.4766666666666667,0.6366666666666667
boost_wedetect_all,300,3635.7348401308836,887.6541287799275,-906.5900683722517,-1345.2540442619268,-486.6730184578325,0.15666666666666668,0.33666666666666667,2024.3714841133856,0.06666666666666667,0.23,0.37666666666666665,0.4866666666666667,0.63
boost_wedetect_top3,300,3712.0427721236947,949.5814887789975,-982.8980003650634,-1423.193347501352,-577.1515822844157,0.15333333333333332,0.34,2072.4912074669846,0.06666666666666667,0.21666666666666667,0.36333333333333334,0.4766666666666667,0.62
boost_disagreement,300,3724.2897074219004,1016.34758362464,-995.1449356632679,-1428.4175653155232,-602.4158827353698,0.20666666666666667,0.44,2454.491463901954,0.06,0.22,0.34,0.4666666666666667,0.6133333333333333
boost_wedetect_top1,300,3859.011923584215,887.6541287799275,-1129.8671518255828,-1606.9259340407477,-711.0670229275347,0.17333333333333334,0.33666666666666667,2232.7151624638764,0.06,0.21,0.36333333333333334,0.48333333333333334,0.6233333333333333
suppress_union,300,3920.054115876841,1094.881914645357,-1190.90934411821,-1758.5413975579336,-605.5280257807842,0.2866666666666667,0.4633333333333333,3030.738199850734,0.06666666666666667,0.21333333333333335,0.31333333333333335,0.42,0.6166666666666667
